CS_null_raster,CS_forest_motorways_k10,CS_barriers_k100
0.861926975,0.1735558267,1.09752526
0.8707057433,0.1468335368,1.363541156
0.8257177892,0.1565242795,1.260481187
0.828273717,0.3937320894,0.8986668311
0.712111509,0.1020909382,0.721389463
0.7334331316,0.1268507215,0.7416579784
0.8407569746,0.1262266461,0.8630418919
0.8664268637,0.413098037,0.9282036324
0.8773980715,0.1146293463,0.9088528089
0.4613168305,0.04289790482,0.4614847676
0.3646429498,0.0332672514,0.3646838621
0.4399324295,0.04035116759,0.44008332
0.4863168377,0.0452800441,0.4865989663
0.8749030493,0.1120425205,0.907680612
0.8813666346,0.1148273132,0.9157770283
0.8598234782,0.4380400398,9.672861342
0.8730651666,0.123677822,0.9040468206
0.8589638744,0.1713335623,0.8856035185
0.8365885636,0.1067891552,0.8619945559
0.803460843,0.2217067657,1.180782736
0.8061025482,0.1151208357,0.8198345539
0.7181617959,0.08101142463,0.7314911892
0.9098842986,0.1547035639,1.334135762
0.7984947088,0.3844184359,1.347353323
0.8996046063,0.2099895436,1.103448856
0.7923501228,0.09354656179,0.806393671
0.9026583611,0.183232748,1.118821262
0.8991002534,0.4029926644,1.132670715
0.7247027416,0.1207524252,0.7321492458
0.9029671154,0.2008591669,1.11165133
0.9036752484,0.4250299969,1.091725423
0.8013532939,0.1246226911,1.641593595
0.9080422988,0.1379457097,0.9667434121
0.906805771,0.1807486151,1.109886286
0.6881880316,0.09119316889,0.6924067445
0.9065779956,0.4488115239,0.9944509763
0.9152706625,0.4507357943,1.057145007
0.9081803792,0.1230909948,0.9572226738
0.9050810003,0.2192616555,1.110543723
0.909166657,0.1972594788,1.107281743
0.8997525245,0.176671297,0.9482642949
0.906720139,0.1468501944,1.321617398
0.9157047602,0.1214455363,0.9651434981
0.7259230318,0.2580344314,0.734145112
0.6739756948,0.1018441442,0.6784692257
0.9057588765,0.1233483945,0.953743648
0.9252300204,0.1262943954,0.9809633654
0.7815881833,0.09371936346,0.7919787254
0.9162018604,0.1531738634,1.356070962
0.9170562312,0.1286935888,0.9757431524
0.91345003,0.1371029381,0.9747476041
0.9165106897,0.1464874259,1.340866195
0.9097897986,0.4451094493,0.9989191324
0.9078344017,0.1482816572,1.367461186
0.9131874121,0.1210617376,0.9607536433
0.9472607389,0.2194440576,1.03689668
0.9464507614,0.1876563698,1.132742667
0.9237934204,0.4713473537,1.095142035
0.713561485,0.3409934369,0.7274295067
0.8927391705,0.4076968705,1.103332891
0.9361664569,0.13815064,1.002966734
0.9258197818,0.1514705241,1.300691956
0.9253986322,0.1241225398,0.9823396808
0.9251555533,0.2297765977,9.721818383
0.9497664137,0.1567015776,1.21057092
0.9354432855,0.1288891008,1.000984605
0.9389125398,0.4126202684,1.380445137
0.9493771154,0.186092336,1.132586772
0.8911898319,0.4685122459,1.176346705
0.8921931166,0.1165665227,0.9291179522
0.8909360324,0.184979412,1.098639081
0.9563515455,0.2059438049,1.075900201
0.9485398955,0.3950465362,1.082359779
0.9570025776,0.1436812943,1.054589013
0.7952690435,0.1553907897,0.8120985743
0.9528515942,0.2335895452,1.139223649
0.9621174266,0.1389202423,1.091639795
0.9557851367,0.2634207197,1.226590977
0.6751374651,0.07422827045,0.6838350804
0.9306216461,0.4258604276,1.471149003
0.9566909793,0.1806279142,1.14995852
0.969963519,0.156339483,1.201767511
0.9561324629,0.1361055076,1.055023441
0.9562169904,0.1924487528,1.141140089
0.9561370913,0.2024425895,1.078437302
0.9564252175,0.1572449865,1.100661544
0.9543671261,0.1633702178,1.250718362
0.9536153372,0.1598756831,1.218741219
0.9537670858,0.1572151865,1.212496357
0.9539246333,0.2592597213,1.192825526
0.9102152409,0.1362333825,0.9696779899
0.8250205768,0.1530592999,1.189939372
0.913621596,0.1746230767,1.11018564
0.7201724312,0.09709406037,0.7272743322
0.9339959253,0.1268442712,0.9992429361
0.9267896966,0.2096219207,1.061831256
0.8852667098,0.1443495627,1.319799296
0.7860659088,0.4053958642,1.349392536
0.9229343784,0.2138534522,1.036766322
0.7783934526,0.110949466,0.793798518
0.9673352498,0.1547756545,1.502129706
0.9668476067,0.2906258406,1.090181176
0.9653148888,0.4816375944,1.141874696
0.9651071632,0.1832365001,1.154697701
0.966882115,0.4227401854,1.161257364
0.9624809104,0.4348775442,1.079749826
0.9256899844,0.1909737371,1.118805202
0.9681697943,0.1584094996,1.17701602
0.7984796963,0.1078801021,0.8165371873
0.9793334789,0.1513432922,11.28361975
0.8030569642,0.1837059451,0.8669154637
0.9800885621,0.4316459237,1.181427985
0.9781120319,0.1807142524,1.495435178
0.9775527767,0.1609865103,1.19465921
0.8200539037,0.1901263923,0.9363091795
0.9662892362,0.4304675009,1.089931094
0.7457888417,0.09840345898,0.7532369414
0.8138958714,0.1431291872,0.8317105185
0.9565534286,0.2471050204,1.104848026
0.8119320747,0.1950606601,1.035834574
0.9445848353,0.1546767481,1.512990998
0.9562454523,0.1756749881,9.831930569
0.976668798,0.1651683882,1.209741167
0.9737324307,0.2334855098,1.148581071
0.9722498716,0.2975635556,1.086259594
0.9805747243,0.1526963511,10.32081134
0.9493093096,0.1636095965,1.467185098
0.963715853,0.1579460022,1.172784563
0.9309311311,0.4572516369,1.089261787
0.9286219124,0.1669656931,1.140957765
0.9390188894,0.149244068,1.213417929
0.7100697412,0.07805267037,0.7156056191
0.9412097745,0.1558310034,1.409322069
0.940045223,0.1550518684,1.165422864
0.9532797055,0.4075163787,1.138620043
0.7647128856,0.1343581179,0.7784318707
0.9583054197,0.154529897,1.174532896
0.9360246419,0.1274295511,1.003338813
0.6887597484,0.07209585162,0.6984547514
0.9551278058,0.1618706196,1.287918538
0.8924652435,0.1216521122,0.9330715381
0.9627805387,0.1680803384,1.166325133
0.9122033447,0.146341965,1.340088885
0.8668346472,0.3386097577,0.8964804525
0.9750148412,0.4499333289,1.098066182
0.9242785573,0.1489176738,1.234985732
0.9166745638,0.1265818604,0.9733437074
0.9400756932,0.2393745956,1.092045848
0.9388592999,0.1580174949,1.15789426
0.9414841844,0.2114314248,1.129779193
0.9767483538,0.1612552528,1.187931477
0.9221740929,0.2056305271,1.06171895
0.9196632021,0.2237386983,1.114352842
0.9205029513,0.1889417016,1.127772388
0.9387280562,0.4124056454,1.123533458
0.9539834862,0.1791205681,1.412939094
0.9511415913,0.1539896428,1.523143214
0.8209369303,0.1130579748,0.8375916844
0.9456783107,0.1794336204,1.128381632
0.8653921146,0.1726550461,0.8957897893
0.9524147692,0.1832204743,1.136410439
0.9522559811,0.1936911662,1.074953676
0.9286318792,0.1486376122,11.32537452
0.9193199487,0.1952668889,1.128888987
0.9539351543,0.2552836637,1.120785095
0.9571357938,0.1998137885,1.088747675
0.9575584814,0.2094168033,1.094860559
0.6643135616,0.08813215381,0.6669573644
0.9729442911,0.1947298242,1.148931284
0.9018566366,0.2069545624,0.9659007962
0.8644372498,0.1406005991,0.904730623
0.952196471,0.1571142032,1.405314851
0.7588832769,0.08297171593,0.7674224577
