x1,y1,x2,y2,d1,d2,dt
895500.509851248,6954516.28142892,898015.610708668,6946109.32176913,0,5,5
895500.509851248,6954516.28142892,904838.125482072,6954205.40356024,0,5,5
888490.782146195,6949237.41596887,901992.027914726,6955775.2113229,5,12,7
888490.782146195,6949237.41596887,891184.739716324,6959654.82646904,5,12,7
895500.509851248,6954516.28142892,897263.558099411,6956825.17706106,0,12,12
895500.509851248,6954516.28142892,898684.254264369,6955275.85115006,0,12,12
889571.096209236,6951589.37775638,888684.303956606,6957557.79722417,12,13,1
888357.578787528,6952350.6367328,899566.916680828,6962572.74119074,13,17,4
888490.782146195,6949237.41596887,892500.926369037,6963800.28193579,5,17,12
895500.509851248,6954516.28142892,895913.762730609,6954777.45994634,0,19,19
895500.509851248,6954516.28142892,895715.80826614,6954582.68528452,0,19,19
895500.509851248,6954516.28142892,895207.482458798,6954313.59380453,0,19,19
895500.509851248,6954516.28142892,895276.770406432,6954073.71507182,0,19,19
886886.605599189,6951825.02485737,886256.260451304,6952107.90906204,17,22,5
888490.782146195,6949237.41596887,904753.893491571,6950730.21442336,5,27,22
888490.782146195,6949237.41596887,886941.038065248,6953852.54285403,5,28,23
889249.913594379,6947572.38071305,902087.885267269,6947686.76422078,5,38,33
888490.782146195,6949237.41596887,900553.090991393,6947622.36934915,5,38,33
889647.94765557,6951233.28999845,889201.812479264,6951025.04508581,12,44,32
888357.578787528,6952350.6367328,891249.536967469,6958090.83260812,13,47,34
889948.416658984,6954366.45561095,894188.415921589,6948967.01864901,47,50,3
898031.735278148,6952441.17360339,892547.030656983,6954550.5381592,12,53,41
886619.166488132,6950477.48129216,907169.369195034,6950240.41201387,17,54,37
889801.308540137,6954703.39715839,898248.455719497,6949792.95499084,50,55,5
886427.161285274,6951527.84534524,904993.31238667,6947840.81465644,22,56,34
889647.94765557,6951233.28999845,890494.546544024,6953256.60313329,12,57,45
883914.842647687,6955185.2149498,883706.671955957,6954127.14890527,56,57,1
883914.842647687,6955185.2149498,903012.567716114,6963196.2545834,56,57,1
898133.418748135,6953177.62403615,898494.118470684,6955307.19137273,53,58,5
883700.377325537,6954462.34816447,893007.588443237,6966124.79890058,57,58,1
883700.377325537,6954462.34816447,898381.53218013,6943003.1294562,57,58,1
889948.416658984,6954366.45561095,894292.298186541,6959942.59175055,47,59,12
883700.377325537,6954462.34816447,888352.539930597,6964386.68592465,57,65,8
883700.377325537,6954462.34816447,907481.503047307,6956669.47718631,57,65,8
898133.418748135,6953177.62403615,894059.980327884,6952589.14206677,53,65,12
883874.560066274,6952130.85702147,907079.096684596,6958080.43531834,58,65,7
883705.262671936,6951752.40553015,898806.320864742,6966974.98049858,65,72,7
884274.839810092,6949184.33340154,884504.251839365,6949129.58267843,54,72,18
884274.839810092,6949184.33340154,884864.824617791,6948952.73833832,54,72,18
884274.839810092,6949184.33340154,888371.542461172,6964637.50150688,54,72,18
883914.842647687,6955185.2149498,887920.953601413,6945808.09548603,56,75,19
883860.918388858,6952172.72737046,884226.412373076,6950062.63360606,58,76,18
882861.950103527,6951983.6194956,882954.939277672,6951517.44872496,72,81,9
891528.656105892,6951219.18636398,893468.815352854,6956957.92448352,57,83,26
897905.890905903,6954460.30455211,893695.772372717,6953308.09244381,65,85,20
883700.377325537,6954462.34816447,903602.231542987,6963435.21234022,57,89,32
884274.839810092,6949184.33340154,892714.740784982,6968182.03296811,54,90,36
891528.656105892,6951219.18636398,900098.298786639,6953124.47880425,57,90,33
884274.839810092,6949184.33340154,884109.260855076,6948086.76533206,54,93,39
883490.814673993,6953540.34868517,902135.677579169,6943278.21459342,89,94,5
883490.814673993,6953540.34868517,889816.062517052,6965859.52504944,89,94,5
883315.448166872,6954722.75332468,904189.349729018,6964220.21446131,65,94,29
883490.814673993,6953540.34868517,892575.663321732,6966519.57027517,89,94,5
883490.814673993,6953540.34868517,888055.336751353,6964286.31858319,89,94,5
883705.262671936,6951752.40553015,898515.957852427,6966897.51613977,65,97,32
882848.235163773,6952005.44813386,892901.909156161,6970593.76193345,81,100,19
882848.235163773,6952005.44813386,910447.881563827,6960997.90751716,81,100,19
883248.941622772,6951011.00318662,907467.637933128,6947913.15459724,97,101,4
897905.890905903,6954460.30455211,892778.200588016,6954016.12276258,65,104,39
889044.72602536,6947562.24121036,889987.091481282,6964025.54401908,38,105,67
879517.268994917,6951358.52754518,894119.994080661,6969468.22402256,100,106,6
883850.911440394,6946848.15706326,899569.110603218,6967872.11592891,90,107,17
883850.911440394,6946848.15706326,885212.587110801,6963793.26158137,90,107,17
883850.911440394,6946848.15706326,908694.599108324,6950098.16038112,90,107,17
879714.629342236,6950510.7750313,892114.958655896,6970795.84196423,100,109,9
880798.053365316,6951466.005311,894851.496376432,6939535.45770216,106,111,5
880798.053365316,6951466.005311,893709.011096454,6939304.96748165,106,112,6
879517.268994917,6951358.52754518,885619.516282244,6967820.95999302,100,112,12
887431.038514241,6947052.53642577,889623.496531101,6963692.59680126,105,112,7
887431.038514241,6947052.53642577,889233.684956884,6963445.43528268,105,112,7
887431.038514241,6947052.53642577,905130.055561268,6949431.86180016,105,112,7
879175.868677766,6951660.65607501,910318.019689782,6963631.80264297,112,113,1
879517.268994917,6951358.52754518,894064.541366305,6970918.35503339,100,119,19
878205.340033556,6952637.87098494,900120.352015966,6971311.30441999,113,120,7
898349.784053033,6955728.24992217,890268.906250214,6953506.32041869,58,121,63
879439.114543653,6950213.06996628,899364.040204903,6937924.48488262,109,121,12
879484.31609891,6948711.44576244,877523.322187407,6956539.71672958,121,122,1
879439.114543653,6950213.06996628,903997.464551776,6969488.14648037,109,125,16
897653.086115377,6954804.74878802,897584.848629813,6954565.5073474,85,126,41
882440.611234535,6950484.84414124,884162.507103291,6963477.54038426,101,126,25
878183.811886466,6952632.74473063,886283.481064264,6969519.35809352,120,126,6
878183.811886466,6952632.74473063,894545.940138697,6935316.24999596,120,126,6
879484.31609891,6948711.44576244,884052.449293284,6967564.67399222,121,128,7
879484.31609891,6948711.44576244,893575.406180364,6971782.50016824,121,128,7
879484.31609891,6948711.44576244,878284.233041517,6956942.7156475,121,128,7
878839.328743093,6950184.99681777,893070.902884223,6971699.15096127,125,128,3
878839.328743093,6950184.99681777,905883.701332968,6940772.96910155,125,128,3
879484.31609891,6948711.44576244,907913.981083622,6942783.21298564,121,128,7
879484.31609891,6948711.44576244,900352.190899239,6970903.89455296,121,128,7
879484.31609891,6948711.44576244,879349.565936776,6949261.1522808,121,128,7
887431.038514241,6947052.53642577,905791.346386512,6947517.05762319,105,130,25
900779.701236827,6955237.27781931,891344.208612723,6959600.27722968,121,130,9
884150.546270237,6948014.16195583,908119.429893006,6952126.86806137,93,135,42
898133.418748135,6953177.62403615,897827.282848848,6956343.78992663,53,138,85
883500.173218725,6947380.19370692,892656.517207619,6969000.33656498,107,139,32
881858.890998024,6949745.46352832,908238.901235814,6960365.56109035,126,142,16
889249.913594379,6947572.38071305,896802.101333916,6964750.32513826,5,142,137
900779.701236827,6955237.27781931,893921.773425675,6949821.85371129,121,142,21
884150.546270237,6948014.16195583,895067.747748563,6968135.1775856,93,146,53
890050.750275275,6954917.70352549,893175.752296799,6950436.02235311,55,147,92
876514.189653424,6951504.29608555,883930.829293858,6939735.45710375,126,148,22
876514.189653424,6951504.29608555,881754.108222757,6941800.12733505,126,148,22
876514.189653424,6951504.29608555,889898.172673338,6972346.08809296,126,148,22
876514.189653424,6951504.29608555,905070.217481792,6938457.57136789,126,148,22
876514.189653424,6951504.29608555,914193.632522551,6953567.56626398,126,148,22
877967.210602035,6952894.75544962,877970.424287562,6950070.46020988,126,148,22
883850.911440394,6946848.15706326,896118.844195405,6968554.23335464,90,148,58
877967.210602035,6952894.75544962,878318.081212887,6962809.32601821,126,148,22
900779.701236827,6955237.27781931,899730.550577292,6951241.85094561,121,148,27
876423.321368514,6954249.21951371,912350.52701579,6966038.02743439,148,149,1
900779.701236827,6955237.27781931,900999.7386526,6955579.67715387,121,149,28
876514.189653424,6951504.29608555,878954.648062556,6965924.31672541,126,150,24
876514.189653424,6951504.29608555,913392.969912181,6964151.32470185,126,150,24
876514.189653424,6951504.29608555,914020.709446151,6962927.37411705,126,150,24
902067.154077558,6954548.48224571,890285.264749046,6951028.2213056,130,151,21
876423.321368514,6954249.21951371,908893.531417485,6941971.73970821,148,152,4
898349.784053033,6955728.24992217,892725.749558401,6956941.45823881,58,153,95
901767.162617563,6954209.02257003,901555.398364886,6953748.12588651,151,153,2
877150.808313604,6954351.94294951,911455.347764798,6960838.91582173,152,153,1
901767.162617563,6954209.02257003,896761.008291647,6948737.44217802,151,154,3
882658.761615596,6947238.53111762,883537.982026949,6965027.46517242,139,154,15
879011.755081525,6959275.85332739,885946.534274259,6969024.82738521,153,154,1
875108.165197854,6953607.4420607,915290.475433555,6950532.77011099,149,155,6
878263.8862313,6949023.34297112,914750.229220787,6950026.59047234,122,157,35
878263.8862313,6949023.34297112,880574.442695447,6942155.7724387,122,157,35
875108.165197854,6953607.4420607,893920.533856609,6933948.7820915,149,157,8
877967.210602035,6952894.75544962,904946.675856736,6968111.22684894,126,160,34
877150.808313604,6954351.94294951,877068.886939234,6953975.60046918,152,164,12
882475.137585473,6954472.3262629,889674.596274861,6967817.32794676,94,165,71
882501.996605209,6953350.84143935,908551.270376088,6960408.7740599,94,167,73
881043.43181791,6955877.16430674,900321.436618428,6969121.38063686,165,167,2
893010.575693746,6952544.06662516,894648.141519723,6951888.11449436,83,170,87
882658.761615596,6947238.53111762,886113.308669433,6966966.21900861,139,172,33
882658.761615596,6947238.53111762,909583.742186866,6961229.03338833,139,172,33
881209.975757971,6947490.06687444,912544.994846295,6956528.2511129,154,175,21
898913.272487982,6955906.90302638,896899.888097975,6950609.09842732,153,176,23
880268.398688394,6956645.37684496,896105.589777588,6936749.72953189,167,177,10
883775.406811476,6946772.35540031,881579.227515533,6960056.08194489,148,179,31
897608.939667143,6952517.81654884,897372.110160415,6953055.80316115,12,179,167
879011.755081525,6959275.85332739,879834.504148834,6947151.14505858,153,181,28
887170.741482214,6948986.87177835,904284.806651245,6960950.59269858,27,181,154
877733.17307797,6946777.32754472,910196.959296992,6965510.45711204,157,182,25
889574.227139966,6946071.81790195,886172.864282042,6963052.335889,142,183,41
901253.863401368,6953144.14355927,890728.237521789,6946775.52442113,154,183,29
880208.17079801,6962628.82324407,914453.869537118,6959130.73762786,181,184,3
888346.888683717,6944090.59671272,899692.970187838,6941285.43317676,183,184,1
888346.888683717,6944090.59671272,886273.141238796,6963719.98336183,183,184,1
879011.755081525,6959275.85332739,897806.130838447,6969664.83963086,153,186,33
879011.755081525,6959275.85332739,892635.642818576,6939390.43353414,153,186,33
881144.721511699,6960075.96476531,880726.795124419,6949015.13983188,186,187,1
877591.02216054,6946152.11552024,876591.543645029,6961792.32828663,157,187,30
881043.43181791,6955877.16430674,908747.719799587,6951613.30121427,165,187,22
889001.039925227,6943219.850512,904553.543035814,6944622.06177971,184,188,4
889001.039925227,6943219.850512,882693.903900301,6950461.25567546,184,188,4
881144.721511699,6960075.96476531,892710.873751943,6969748.0826899,186,190,4
877887.245891807,6956922.40293918,907491.338379524,6966658.71764665,177,191,14
878562.183514617,6956592.77535138,897070.340860074,6971224.18057394,191,192,1
897608.939667143,6952517.81654884,889245.120122211,6953378.08940065,12,193,181
880951.922162463,6960587.83822781,911437.02344769,6957306.66845188,187,194,7
889574.227139966,6946071.81790195,894322.275263841,6963353.10788257,142,196,54
880208.17079801,6962628.82324407,908673.896834664,6965122.03997358,181,196,15
880208.17079801,6962628.82324407,891930.19771257,6971026.52550627,181,196,15
888703.744896567,6942415.20481168,891670.040142657,6968270.1489156,184,196,12
888645.355821437,6942963.82484724,886508.799427922,6944627.78509441,188,196,8
881218.204041485,6963573.6529946,890996.98441428,6971001.62452398,196,197,1
880208.17079801,6962628.82324407,885029.412378991,6940811.36530605,181,197,16
880208.17079801,6962628.82324407,908210.890538682,6942756.35651644,181,199,18
893874.141296829,6952282.73748852,894023.764116474,6955840.49429741,170,199,29
881147.261454204,6963791.65413173,879516.431537258,6965876.68060811,197,202,5
883914.842647687,6955185.2149498,898139.894744775,6965906.60158306,56,203,147
892259.978017385,6946211.06066433,892339.521707953,6946233.39680307,196,203,7
879011.755081525,6959275.85332739,895555.869722679,6971377.7719077,153,203,50
898789.431533185,6957047.55238547,897947.588581386,6957634.04107126,176,204,28
902950.222192175,6949301.33288866,890010.065728359,6946594.76889568,183,204,21
902950.222192175,6949301.33288866,896399.301857814,6964238.88444456,183,204,21
877150.808313604,6954351.94294951,895030.40520945,6973113.78991998,152,205,53
902018.62421589,6947416.31504799,887129.902645812,6955408.28444986,204,205,1
878934.704900508,6965010.2575768,879166.106599877,6941623.94976832,202,206,4
880168.823445045,6962565.44306902,878411.12685814,6961870.92198459,199,206,7
878573.012550693,6962236.22857433,914613.852866071,6959197.94354073,206,209,3
878573.012550693,6962236.22857433,910888.378203008,6942258.60314509,206,209,3
901676.049404812,6946953.24317084,892294.310888871,6946644.48149597,204,209,5
878573.012550693,6962236.22857433,877561.968286121,6960887.04222394,206,211,5
877448.995630828,6962338.04617039,915081.991119206,6952506.74576767,209,211,2
876913.38387523,6955295.42737227,893910.755815447,6935621.28912393,205,211,6
877427.989351113,6962317.34834271,880543.76374936,6967305.6047805,211,212,1
883283.447624471,6945842.47706322,909431.554821718,6960142.57721592,179,213,34
877427.989351113,6962317.34834271,889489.477700144,6975094.65849272,211,215,4
899438.710649037,6946983.98294525,903882.592500613,6952920.33453475,209,216,7
899438.710649037,6946983.98294525,890195.939590841,6947867.0782559,209,216,7
899438.710649037,6946983.98294525,887667.837628938,6951187.56577807,209,216,7
899438.710649037,6946983.98294525,903658.497715351,6957057.10290809,209,216,7
899438.710649037,6946983.98294525,887002.641317154,6954983.24046743,209,216,7
888346.888683717,6944090.59671272,883772.465018144,6950969.82446675,183,217,34
880718.434146678,6959129.31482193,893564.349483895,6939895.57443921,190,217,27
901676.049404812,6946953.24317084,893550.228067753,6963566.76306835,204,218,14
881503.736015009,6959164.30380668,906534.592819792,6964389.42458357,217,218,1
876604.618394951,6956095.31219872,880524.840675224,6966112.50326054,211,219,8
883948.321797661,6956319.80492604,904733.59669317,6961190.78831043,203,222,19
878934.704900508,6965010.2575768,891610.807260866,6935187.87379641,202,222,20
876643.886083533,6956296.94650712,884719.750242954,6939401.74929579,219,223,4
879398.350774822,6959519.62021004,909535.227930993,6965130.54272408,203,223,20
877081.280861741,6961444.7047113,876100.692085527,6946968.10313869,212,227,15
877081.280861741,6961444.7047113,884119.885596129,6938512.46614252,212,227,15
884326.390307635,6956738.43965166,884358.605979292,6953442.65476475,222,230,8
901676.049404812,6946953.24317084,897167.518153838,6964040.28567131,204,231,27
896645.15323542,6948262.06898622,899774.136803094,6959330.64622509,193,231,38
884326.390307635,6956738.43965166,891015.467395844,6964955.90760179,222,233,11
884326.390307635,6956738.43965166,906152.443088623,6950327.39431096,222,233,11
884326.390307635,6956738.43965166,884109.690430493,6954011.87005642,222,233,11
884326.390307635,6956738.43965166,895356.733948328,6965618.40510052,222,233,11
893355.851864594,6945914.04533082,888740.660132504,6954475.27926359,203,234,31
894985.554335418,6952600.78188495,895826.486633698,6952572.3608851,199,235,36
896095.899996445,6948106.32774039,894937.839996434,6961078.0889593,231,236,5
880618.643379513,6967127.90700659,902336.576762565,6936127.11871365,184,237,53
888346.888683717,6944090.59671272,883445.790675725,6955610.2942418,183,237,54
888346.888683717,6944090.59671272,906440.528708715,6949337.21945247,183,237,54
888346.888683717,6944090.59671272,885458.65057662,6947737.33936753,183,237,54
884660.782515549,6957308.23547468,883672.478784129,6951521.71045311,230,237,7
877128.667367336,6961452.8595409,913621.877526925,6960035.97182461,227,238,11
895771.029237537,6947935.9520532,888709.883643225,6952348.51552692,236,240,4
896095.899996445,6948106.32774039,891105.967114313,6950230.50486594,231,241,10
893680.124193143,6948006.02448673,894407.043293459,6948237.99424147,234,245,11
875802.519442243,6961248.07901137,885679.268588985,6936161.45371715,227,245,18
884660.782515549,6957308.23547468,888607.654524307,6946942.42299156,230,247,17
875850.349699134,6963087.93915061,907164.893944752,6934536.2068982,215,247,32
875850.349699134,6963087.93915061,906751.091830014,6972657.79727016,215,250,35
898178.288460903,6957438.28779725,893912.63874272,6958106.0609458,204,255,51
895771.029237537,6947935.9520532,899632.613200589,6960791.8503382,236,257,21
895037.330731711,6947403.10503534,897375.213085604,6962014.89641066,240,259,19
895037.330731711,6947403.10503534,900258.078341305,6960849.73304098,240,259,19
876767.089389729,6964750.98463375,895811.276248125,6975746.30372115,250,261,11
894849.770207085,6946621.75134947,889583.556518064,6949262.55813113,259,262,3
876767.089389729,6964750.98463375,877862.73059663,6966346.68734925,250,262,12
876694.440847098,6964372.35523613,887054.868590518,6974264.18361105,261,268,7
876694.440847098,6964372.35523613,874327.304864996,6950827.84674479,261,268,7
876694.440847098,6964372.35523613,891748.353323694,6975712.77805634,261,268,7
876396.656373095,6964436.61056504,900464.230890134,6976953.14303587,268,274,6
876767.089389729,6964750.98463375,882309.221725546,6937119.0065376,250,282,32
874936.293202507,6964771.24505366,881746.295168196,6972549.35984585,274,286,12
876591.95162515,6965431.48558962,907542.938941856,6936215.16408016,282,288,6
876591.95162515,6965431.48558962,873690.920034237,6951972.11615271,282,288,6
873943.381771137,6962915.77328686,871591.821322408,6955890.39477837,247,291,44
876685.208915478,6965738.37772649,917917.963875312,6954454.10291087,288,323,35
