CS_null_raster,CS_forest_motorways_k10,CS_barriers_k100
0.8628821951,0.2164449197,1.108877066
0.8717160368,0.110969125,0.9010147947
0.8257030931,0.09950033573,0.845777439
0.8265878191,0.1968046883,1.117223547
0.7137045827,0.07688853296,0.7291553035
0.7328912959,0.3757277818,0.7626549274
0.8414230267,0.2054151677,1.186441874
0.8658896976,0.4548197953,1.162591339
0.8764286157,0.2138791322,1.003033162
0.4838306743,0.0449703759,0.4840577309
0.4069662619,0.03720792323,0.4070456565
0.4399325413,0.04030307034,0.4400601081
0.4933089986,0.04537386132,0.4936282093
0.8739138932,0.1446605013,1.36258686
0.8807285307,0.1482394841,1.361022295
0.8591284387,0.1703949586,1.098521878
0.8730900492,0.1469877232,1.356736825
0.8601775861,0.1070366031,0.8863216304
0.8369767989,0.1016092656,0.8574233113
0.801508171,0.3929958631,0.8328767602
0.8071836542,0.1103472846,0.8284899931
0.7160864351,0.2947366941,0.7447171983
0.9094663438,0.1937648517,1.071417788
0.7998459578,0.09277695557,0.8141794905
0.9004817269,0.1487148965,1.398204245
0.7918203045,0.1879851939,0.8956347826
0.9035875221,0.198278997,0.9705665861
0.8987787981,0.1450985774,1.313692693
0.7280215199,0.3476360622,0.7400559615
0.9039697083,0.2366545142,1.091006079
0.9038468138,0.4354942499,1.096792984
0.8029797636,0.1773743794,1.245474794
0.907930604,0.1239245763,0.9582593962
0.9066455758,0.1870893132,1.123125185
0.6958047654,0.2860769709,0.7017745452
0.90607817,0.4050877765,1.090383375
0.9150574622,0.3736354817,0.9654810046
0.9080364579,0.1719890916,0.9638766656
0.9044205421,0.4342374713,1.123150051
0.9087738423,0.1523182113,1.397946399
0.9000640964,0.2196495662,1.101002435
0.9063482394,0.1479088622,1.342533671
0.9150711459,0.185654183,1.064378004
0.725857664,0.1368672352,0.7347236717
0.678509615,0.15252759,0.6819536645
0.9063362173,0.3839495206,1.423899952
0.9262080386,0.1874466061,1.062693117
0.7848970669,0.1479963373,0.8011265811
0.9156203754,0.3805439266,1.112803609
0.9165882605,0.3149915031,1.174157295
0.9126195697,0.1538615377,1.32290668
0.9165852949,0.1250467959,0.9716336227
0.9090899908,0.1844485924,1.122181204
0.9080640298,0.1817400761,1.600605316
0.9140727111,0.1518299881,1.314593085
0.9477238522,0.4214845792,1.057349672
0.9462295161,0.202376708,1.134097119
0.9228534646,0.1288332315,0.9772393988
0.7118548047,0.302762712,0.7199999042
0.8927923059,0.1445922694,1.31306007
0.9359447976,0.1276954199,1.003508307
0.9249685107,0.1783382298,1.128053757
0.9242556692,0.1546646891,1.241904761
0.9256672876,0.1539629456,1.409324688
0.9499027141,0.2772430943,1.150740126
0.9346199403,0.1753532688,1.121722766
0.9391363307,0.1731160967,1.028917981
0.9487590228,0.2063470686,1.141787273
0.8925723681,0.1509085778,1.467734638
0.8917557513,0.1545035957,0.9331928536
0.8914925956,0.449377497,1.042268242
0.9566949665,0.2335776709,1.080306092
0.9485610206,0.1762254528,1.333352504
0.9574963065,0.2412764171,1.079265367
0.7985021964,0.1482927297,0.820010692
0.9534501944,0.135640272,1.060682086
0.9635084957,0.4312086504,1.137432974
0.9543806656,0.1529003503,1.177601681
0.6727896396,0.07928974614,0.6757300071
0.9303784142,0.1737580822,1.372602148
0.9600466394,0.2591357318,1.106040905
0.9733353592,0.2198199121,1.119971894
0.9558675985,0.1814460833,1.135604583
0.9561487053,0.1445444357,1.052437868
0.9561544623,0.1616680863,1.245671136
0.9558918904,0.1616091942,1.255089676
0.9554109618,0.1733518539,1.412895842
0.9534312556,0.1844350497,1.13592207
0.9541576544,0.2061206095,1.078885663
0.9520198422,0.1539979675,1.171697804
0.9099329371,0.1931441029,1.152307173
0.8247578569,0.4162797744,1.1540335
0.9148949436,0.4137895546,1.084977164
0.7159349123,0.07891026458,0.7296289479
0.9334253286,0.1888569027,1.063681711
0.9263255643,0.1525386515,1.363434188
0.8851237537,0.152164948,1.461815912
0.7872225822,0.09030619451,0.7997822285
0.9227091787,0.2106742024,0.9844295051
0.7820879002,0.1683484996,0.7984980606
0.967334005,0.1501669098,1.170164899
0.9665928972,0.1410260912,1.104442372
0.9670137031,0.1952580976,1.092590094
0.9657228801,0.3247719671,1.276463859
0.9670587472,0.1946491539,1.093194878
0.9621654721,0.1769113065,1.382681449
0.9264662372,0.3919106929,1.370970137
0.9695824764,0.2655617396,1.171618956
0.7966077294,0.09340540756,0.8091402616
0.9804272413,0.2590967658,1.270152231
0.8043821346,0.09460547662,0.8199335803
0.9770142191,0.1929542951,1.120033043
0.9772731715,0.2523233731,1.156101619
0.9785437501,0.1561063856,1.363639509
0.8187860631,0.09888236541,0.8379255224
0.9657377617,0.4743449489,1.1397537
0.7454675333,0.1208297016,0.7591223883
0.8156088607,0.1033733272,0.8365813629
0.954603609,0.1348996281,1.052280292
0.8112730849,0.4041063624,0.8449701307
0.9454450088,0.2119598604,1.078431207
0.9566187389,0.1379530344,1.054159941
0.9777456944,0.2310876404,1.159108843
0.9732904091,0.2242911218,1.163537758
0.9720803546,0.1440192422,1.138642085
0.9806350852,0.1898663686,1.116370135
0.9497968579,0.1952006178,1.073607938
0.9632689419,0.2212494653,1.156592959
0.932165949,0.3965776523,1.063977645
0.9293782987,0.134062539,0.9898006273
0.9381170784,0.4601214676,1.126169467
0.7107547992,0.3037459616,0.7340841647
0.9403724694,0.1523937512,1.174544692
0.941567381,0.1316515731,1.015962625
0.9546019804,0.4280845259,1.097206979
0.7645022372,0.08549424157,0.7731306662
0.9594246464,0.2067373801,1.473651294
0.9363224554,0.2330490886,1.141516837
0.6867486826,0.07432711137,0.6996247192
0.955423387,0.135281657,1.062001643
0.8907614861,0.183396589,1.098643384
0.96322939,0.1560396216,1.207764149
0.9113671228,0.17373507,1.109434279
0.8670856353,0.2402571704,1.102188475
0.972234813,0.1552893082,1.768753355
0.9253059277,0.3546537458,1.06154424
0.9168485361,0.1227683522,0.9691390132
0.9388531541,0.1617882234,1.592093525
0.9390388232,0.1293920479,1.009441986
0.9423532225,0.1508900538,1.219151977
0.9808617313,0.4748121469,1.102401989
0.9215550069,0.1368372173,0.9755791655
0.92061798,0.2283718281,1.116839997
0.920086653,0.174381995,1.114115009
0.9403288282,0.4551049043,1.079337872
0.952704296,0.2775951644,1.134068597
0.9511307419,0.1539042255,1.206664202
0.8182514543,0.1434546864,2.53566262
0.9462149937,0.1789768858,1.288127066
0.8658319612,0.1243291098,0.8938281164
0.9523378807,0.4590001597,1.149711068
0.9517087167,0.1582194276,1.21505145
0.9298572698,0.1990397457,1.063826067
0.9202652411,0.2545256159,1.145163047
0.9538113714,0.1584540635,1.215852925
0.9552646478,0.1903134213,1.08680564
0.9578261698,0.2082308987,1.096337514
0.6703527892,0.2952636386,0.6743773311
0.9719212414,0.2190416164,1.150041444
0.9013656469,0.1478878516,1.36454436
0.864512851,0.4086529107,1.150478583
0.9521794912,0.1358898325,1.04166836
0.7588841463,0.08304109894,0.7675054316
0.8752071243,0.2024387935,1.003767017
0.8769311849,0.124684424,0.9096663814
0.9659574664,0.2001300194,1.082241633
0.8570287176,0.1059554846,0.8830028856
0.9821711293,0.1904192809,1.102965273
0.9663730353,0.4383730138,1.324289325
0.9732089303,0.1703391977,1.481275734
0.9749948269,0.2183241856,1.089685821
0.8591269263,0.1455089322,1.345819676
0.9687734962,0.1766170131,1.499006579
0.9730959997,0.1597548605,1.215495708
0.9686339258,0.1549985104,1.238850996
0.9740314312,0.1758784751,1.350173828
0.9353318094,0.1601525295,1.146259044
0.98480683,0.3582934187,1.196356854
0.8599478324,0.3320894973,0.9038845249
0.8591496934,0.4403533559,1.248497085
0.8594534849,0.106920871,0.8872362754
0.859398512,0.1139247687,0.8848402367
0.8588087468,0.1068017031,0.8865470211
0.9078754088,0.1255758187,0.9600795031
0.9337548184,0.2153216449,1.063629274
0.8698826753,0.4316154777,0.9325685749
