x1,y1,x2,y2,d1,d2,dt
895500.509851248,6954516.28142892,903238.752338985,6958654.19228408,0,5,5
895500.509851248,6954516.28142892,903500.807871052,6949691.04129888,0,5,5
888490.782146195,6949237.41596887,889189.455807659,6952542.62793722,5,12,7
888490.782146195,6949237.41596887,899542.141462883,6949159.44179135,5,12,7
895500.509851248,6954516.28142892,897973.182938454,6952991.41226428,0,12,12
895500.509851248,6954516.28142892,897338.632483834,6957224.50590945,0,12,12
889571.096209236,6951589.37775638,902961.153103644,6954292.04184419,12,13,1
888357.578787528,6952350.6367328,899716.738829835,6962495.35541013,13,17,4
888490.782146195,6949237.41596887,895005.405324686,6964260.25587398,5,17,12
895500.509851248,6954516.28142892,895718.843538044,6954078.87708341,0,19,19
895500.509851248,6954516.28142892,895715.80826614,6954582.68528452,0,19,19
895500.509851248,6954516.28142892,895793.531571244,6954718.97725379,0,19,19
895500.509851248,6954516.28142892,895026.333167025,6954371.08917106,0,19,19
886886.605599189,6951825.02485737,899764.805118901,6963064.50874785,17,22,5
888490.782146195,6949237.41596887,902499.462411646,6947376.66832856,5,27,22
888490.782146195,6949237.41596887,890178.522995561,6961252.86528567,5,28,23
889249.913594379,6947572.38071305,900257.442838684,6962726.48293199,5,38,33
888490.782146195,6949237.41596887,887608.284592334,6951234.91275046,5,38,33
889647.94765557,6951233.28999845,895712.597358104,6947317.85530395,12,44,32
888357.578787528,6952350.6367328,892496.416782547,6959187.85626252,13,47,34
889948.416658984,6954366.45561095,892045.843893699,6949979.63167359,47,50,3
898031.735278148,6952441.17360339,893824.56688703,6956948.44673071,12,53,41
886619.166488132,6950477.48129216,900406.113665725,6943097.85820787,17,54,37
889801.308540137,6954703.39715839,892249.766034909,6958908.73902986,50,55,5
886427.161285274,6951527.84534524,886846.035420177,6946784.83726053,22,56,34
889647.94765557,6951233.28999845,891686.18676462,6957994.41274222,12,57,45
883914.842647687,6955185.2149498,884058.698116167,6951629.93761012,56,57,1
883914.842647687,6955185.2149498,895036.450117659,6965986.13739538,56,57,1
898133.418748135,6953177.62403615,894123.710993101,6957289.66492382,53,58,5
883700.377325537,6954462.34816447,884459.174651435,6950150.36204789,57,58,1
883700.377325537,6954462.34816447,883912.661547525,6957080.40500167,57,58,1
889948.416658984,6954366.45561095,898300.448171576,6949713.6816605,47,59,12
883700.377325537,6954462.34816447,902079.871938964,6944258.09672526,57,65,8
883700.377325537,6954462.34816447,901751.957977784,6964961.36861165,57,65,8
898133.418748135,6953177.62403615,895788.083806487,6956905.066193,53,65,12
883874.560066274,6952130.85702147,887878.066201004,6963932.5024758,58,65,7
883705.262671936,6951752.40553015,899506.748220369,6942264.84791708,65,72,7
884274.839810092,6949184.33340154,903159.461580926,6964070.05932538,54,72,18
884274.839810092,6949184.33340154,907336.742016229,6956509.87623297,54,72,18
884274.839810092,6949184.33340154,883328.960922674,6952254.71812127,54,72,18
883914.842647687,6955185.2149498,888595.483592767,6963768.45888777,56,75,19
883860.918388858,6952172.72737046,888776.923256099,6964602.59077253,58,76,18
882861.950103527,6951983.6194956,905742.780180128,6946675.34799514,72,81,9
891528.656105892,6951219.18636398,892549.800898974,6955692.17258878,57,83,26
897905.890905903,6954460.30455211,894113.493076093,6952845.0595838,65,85,20
883700.377325537,6954462.34816447,907542.200859815,6954943.95025535,57,89,32
884274.839810092,6949184.33340154,887268.583141932,6965774.55203652,54,90,36
891528.656105892,6951219.18636398,890914.335194954,6953086.67320902,57,90,33
884274.839810092,6949184.33340154,895318.107062432,6941437.06279189,54,93,39
883490.814673993,6953540.34868517,891341.676204467,6966886.55627127,89,94,5
883490.814673993,6953540.34868517,902000.678919103,6943619.95546927,89,94,5
883315.448166872,6954722.75332468,885672.706189996,6963064.76257556,65,94,29
883490.814673993,6953540.34868517,906977.848371027,6959088.41122257,89,94,5
883490.814673993,6953540.34868517,892488.565900761,6966424.7835229,89,94,5
883705.262671936,6951752.40553015,902888.615635976,6944133.42091138,65,97,32
882848.235163773,6952005.44813386,910907.856576753,6959793.75921914,81,100,19
882848.235163773,6952005.44813386,879376.802168517,6952179.30722632,81,100,19
883248.941622772,6951011.00318662,899278.353685395,6967651.78044678,97,101,4
897905.890905903,6954460.30455211,895631.850493151,6951751.52537241,65,104,39
889044.72602536,6947562.24121036,887312.82718286,6947182.40730588,38,105,67
879517.268994917,6951358.52754518,909975.317174127,6950522.99154691,100,106,6
883850.911440394,6946848.15706326,908688.622134079,6959099.45954955,90,107,17
883850.911440394,6946848.15706326,882959.789147882,6948631.21224475,90,107,17
883850.911440394,6946848.15706326,898299.588906105,6940886.57338504,90,107,17
879714.629342236,6950510.7750313,896631.951951938,6971105.61194259,100,109,9
880798.053365316,6951466.005311,898700.481333727,6969165.73467927,106,111,5
880798.053365316,6951466.005311,884006.157969279,6944393.36610752,106,112,6
879517.268994917,6951358.52754518,893869.39410293,6938024.22373376,100,112,12
887431.038514241,6947052.53642577,901826.738199336,6963388.87317348,105,112,7
887431.038514241,6947052.53642577,885475.413250156,6958817.48137073,105,112,7
887431.038514241,6947052.53642577,894622.087452233,6965370.2137869,105,112,7
879175.868677766,6951660.65607501,884886.052966523,6968299.7726362,112,113,1
879517.268994917,6951358.52754518,910432.960637348,6961452.5583508,100,119,19
878205.340033556,6952637.87098494,900147.456951872,6971303.8250712,113,120,7
898349.784053033,6955728.24992217,900693.082703164,6953321.75865473,58,121,63
879439.114543653,6950213.06996628,903063.120136625,6939251.23949977,109,121,12
879484.31609891,6948711.44576244,900468.466495363,6937121.08170316,121,122,1
879439.114543653,6950213.06996628,885940.805015748,6968832.95093547,109,125,16
897653.086115377,6954804.74878802,893950.581026731,6953121.78798189,85,126,41
882440.611234535,6950484.84414124,881501.880304195,6950925.62143643,101,126,25
878183.811886466,6952632.74473063,890950.062004067,6971526.25948458,120,126,6
878183.811886466,6952632.74473063,880180.421733334,6966128.65889533,120,126,6
879484.31609891,6948711.44576244,881263.637846643,6964447.55096253,121,128,7
879484.31609891,6948711.44576244,903531.484652966,6939110.70524911,121,128,7
879484.31609891,6948711.44576244,879957.932463678,6946724.23045644,121,128,7
878839.328743093,6950184.99681777,912516.218734712,6957925.04169815,125,128,3
